year,month,fid,DN,_sum,_mean,_median,_stdev,_min,_max,_range,_minority,_majority,_variety,_variance
1981,1,,,19002.21597,231.7343411,238.7809982,44.57188293,148.7449951,306.0090027,157.2640076,148.7449951,148.7449951,82,1986.652748
1981,2,,,5906.989054,72.03645187,68.32300186,22.71823459,30.52499962,108.3519974,77.82699776,30.52499962,30.52499962,82,516.1181828
1981,3,,,14623.35894,178.3336456,185.6445007,24.05807491,122.3649979,224.595993,102.2309952,122.3649979,122.3649979,82,578.7909684
1981,4,,,3730.407995,45.49278043,43.81800079,12.43725433,23.68099976,71.87599945,48.19499969,23.68099976,23.68099976,82,154.6852952
1981,5,,,3335.14099,40.6724511,35.63999939,19.4200861,11.94900036,82.95800018,71.00899982,11.94900036,11.94900036,82,377.139744
1981,6,,,0,0,0,0,0,0,0,0,0,1,0
1981,7,,,3335.14099,40.6724511,35.63999939,19.4200861,11.94900036,82.95800018,71.00899982,11.94900036,11.94900036,82,377.139744
1981,8,,,0,0,0,0,0,0,0,0,0,1,0
1981,9,,,1190.219997,14.51487801,15.37150002,5.291888188,3.996000051,28.56399918,24.56799912,3.996000051,3.996000051,82,28.0040806
1981,10,,,10600.46703,129.2739882,132.5390015,30.57446322,55.14300156,171.9080048,116.7650032,55.14300156,55.14300156,82,934.7978011
1981,11,,,25415.0049,309.9390841,313.5254974,68.14502978,179.7330017,457.894989,278.1619873,179.7330017,179.7330017,82,4643.745084
1981,12,,,21745.99998,265.1951217,262.0325012,83.81498604,113.9000015,449.4320068,335.5320053,113.9000015,113.9000015,82,7024.951885
1982,1,0,0,27444.48784,334.6888761,315.5825043,135.7411893,148.6779938,639.6569824,490.9789886,148.6779938,148.6779938,82,18425.67047
1982,2,0,0,15525.52998,189.3357314,186.4785004,49.94857634,98.90899658,271.4259949,172.5169983,98.90899658,98.90899658,82,2494.860278
1982,3,0,0,24635.21605,300.429464,301.536499,65.10269143,177.6170044,454.0889893,276.4719849,177.6170044,177.6170044,82,4238.360431
