,water year,max,min
0,1908,2020,0
1,1909,20800,0
2,1910,7200,2
3,1911,22400,8
4,1912,1100,10
5,1913,1220,1
6,1914,13900,2
7,1915,5920,6
8,1916,8920,6
9,1917,13500,6
10,1918,10800,0
11,1919,13100,0
12,1920,3210,1
13,1921,11500,2
14,1922,7970,3
15,1923,9570,3
16,1924,910,0
17,1925,15200,0
18,1926,2950,0
19,1927,8630,2
20,1928,17400,2
21,1929,2800,1
22,1930,4360,1
23,1931,879,0
24,1932,7340,0
25,1933,783,0
26,1934,4920,0
27,1935,11300,0
28,1936,15600,2
29,1937,7800,2
30,1938,15500,4
31,1939,1500,0
32,1940,16700,0
33,1941,4600,1
34,1942,14100,6
35,1943,18700,12
36,1944,4660,1
37,1945,13100,2
38,1946,8510,2
39,1947,2610,0
40,1948,3140,1
41,1949,9010,3
42,1950,5410,4
43,1951,16700,11
44,1952,8300,23
45,1953,2630,9
46,1954,3020,7
47,1955,3160,2
48,1956,31700,6
49,1957,6190,9
50,1958,20100,18
51,1959,2590,2
52,1960,6300,2
53,1961,405,2
54,1962,5760,1
55,1963,26700,4
56,1964,2910,4
57,1965,28500,7
58,1966,1970,5
59,1967,6860,6
60,1968,3290,7
61,1969,18800,8
62,1970,11300,20
63,1971,5480,14
64,1972,3050,6
65,1973,9390,17
66,1974,6530,21
67,1975,7000,21
68,1976,271,2
69,1977,134,0
70,1978,5980,0
71,1979,3900,11
72,1980,19000,12
73,1981,3010,0
74,1982,25400,6
75,1983,18400,62
76,1984,14100,28
77,1985,2990,8
78,1986,34400,17
79,1987,1450,0
80,1988,953,0
81,1989,5450,0
82,1990,910,2
83,1991,3540,1
84,1992,3010,0
85,1993,7100,0
86,1994,868,0
87,1995,18100,0
88,1996,7850,25
89,1997,61600,20
90,1998,14700,21
91,1999,13000,26
92,2000,9680,20
93,2001,984,4
94,2002,2550,4
95,2003,2920,6
96,2004,3810,3
97,2005,9800,6
98,2006,22900,26
99,2007,2830,7
100,2008,1310,2
101,2009,5710,3
102,2010,3150,4
103,2011,10400,9
104,2012,4940,9
105,2013,3140,4
106,2014,2520,0
107,2015,4960,0
108,2016,7150,0
109,2017,36400,5
110,2018,11800,14
111,2019,8980,16
112,2020,4150,12
113,2021,1670,0
114,2022,8150,6
