OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Leng,Shape_Area,area
22273,"2005",CA,BLM,BBD,SANDRIDGE,0000B3CK,2005/08/04 00:00:00.000,2005/08/04 00:00:00.000,"14",,18.000000000000000,18.630725860595703,"6","1",0000B3CK,1138.781384070200829,75395.872082102796412,75395.873
22368,"2005",CA,CDF,AEU,SERENITY,"00014757",2005/09/16 00:00:00.000,2005/09/16 00:00:00.000,"7",,28.000000000000000,23.815967559814453,"8","1","00000418",1458.313100990590783,96379.800444813925424,96379.801
22369,"2005",CA,CDF,AEU,SAND RIDGE,"00012102",2005/08/04 00:00:00.000,2005/08/04 00:00:00.000,"7",,20.000000000000000,5.670744895935060,"8","1","00000298",766.632456926015948,22948.690353275389498,22948.690
22515,"1964",CA,CDF,AEU,WHITR ROCK,"00000000",1964/08/19 00:00:00.000,,"14",,,378.445098876953125,,"1","00000124",5633.751681830945927,1531512.965654014842585,1531512.956
22605,"1924",CA,USF,ENF,PI PI-INDIAN DIGGING,"00000000",1924/08/18 00:00:00.000,,"9",,,8947.786132812500000,,"1",000013C2,28275.268091432750225,36210405.392353229224682,7981003.956
22616,"1924",CA,USF,ENF,UPPER DESOLATION VAL,"00000000",1924/08/13 00:00:00.000,,"14",,,10973.407226562500000,,"1",000038C5,42950.369883252569707,44407804.046842828392982,44407803.960
22769,"1929",CA,USF,ENF,MUD SPRINGS,"00000000",1929/05/21 00:00:00.000,,"14",,,18.905765533447266,,"1","00000009",1142.864519270566007,76508.919457658630563,6262.403
22802,"1936",CA,USF,ENF,,"00000000",,,"9",,,776.683959960937500,,"1",0000100C,8400.512483011498261,3143128.568353057838976,3143128.732
23152,"1926",CA,USF,ENF,,"00000000",,,"14",,,435.045379638671875,,"1",000039C4,6357.934779661189168,1760566.231434495188296,1760566.270
23153,"1926",CA,USF,ENF,,"00000000",,,"9",,,549.945190429687500,,"1",000039C4,7041.605889083613874,2225549.209554440341890,2225549.213
23154,"1926",CA,USF,ENF,,"00000000",,,"9",,,34.451789855957031,,"1",000028C1,1346.076431764191966,139421.448390184057644,139421.449
23155,"1926",CA,USF,ENF,,"00000000",,,"9",,,19.684328079223633,,"1",000054C7,1143.646415802305000,79659.646919055288890,79659.643
23354,"1924",CA,USF,ENF,,"00000000",,,"9",,,496.616943359375000,,"1",000058G1,6455.944167856653621,2009737.455820643343031,1975631.701
23363,"1952",CA,CDF,AEU,DRESSLER,"00000000",1952/08/08 00:00:00.000,,"14",,,1555.240844726562500,,"1","00000102",11969.776752242374641,6293836.431354503147304,6293836.459
23385,"1933",CA,USF,ENF,STEELEY,"00000000",1933/09/08 00:00:00.000,,"9",,,15.278353691101074,,"1",000059C1,910.288790499111428,61829.304250871442491,61829.305
23582,"1930",CA,USF,ENF,CALDOR FIRE,"00000000",1930/07/25 00:00:00.000,,"9",,,232.934463500976562,,"1","00000022",4810.872037101921705,942652.351508530904539,942652.353
23788,"1929",CA,USF,ENF,HAZEL VALLEY,"00000000",1929/02/27 00:00:00.000,,"9",,,246.527435302734375,,"1",000078P1,6439.723641071717793,997661.161912386189215,861498.151
23789,"1929",CA,USF,ENF,HAPPY VALLEY,"00000000",1929/07/07 00:00:00.000,,"9",,,19.229059219360352,,"1",000016C6,1069.003245570076388,77817.239713411923731,77817.235
23903,"1951",CA,CDF,AEU,PACIFIC MINE,"00000000",1951/07/18 00:00:00.000,,"14",,,902.471740722656250,,"1","00000047",9196.858941150332612,3652173.539644719101489,45025.452
23936,"2006",CA,CDF,AEU,ORE,"00012132",2006/07/16 00:00:00.000,2006/07/16 00:00:00.000,"10",,85.000000000000000,85.496726989746094,"1","1","00000317",8861.210331440623122,345992.988159289408941,227843.257
23998,"1932",CA,USF,ENF,,"00000000",,,"9",,,327.511657714843750,,"1",000032C2,4517.605719887832493,1325392.613288961583748,1325392.617
24328,"1962",CA,CDF,AEU,KLOTZ,"00000000",1962/09/27 00:00:00.000,,"14",,,326.080902099609318,,"1","00000090",6430.146706004742555,1319602.595050506060943,1319602.600
24364,"1959",CA,CDF,AEU,SCOTT,"00000000",1959/08/02 00:00:00.000,,"14",,,480.048980712890625,,"1","00000104",7433.990222986863046,1942689.278238310245797,1942689.225
24574,"1920",CA,USF,ENF,BRYANTS MILL,"00000000",1920/05/27 00:00:00.000,,"14",,,8.395687103271484,,"1","00000005",664.518397582347575,33976.138577303623606,33976.139
24575,"1920",CA,USF,ENF,TWIN GULCH,"00000000",1920/08/15 00:00:00.000,,"14",,,88.730804443359375,,"1",000030C3,2160.303211285076941,359080.826154388545547,359080.826
24659,"1922",CA,USF,ENF,LEONI FIRE,"00000000",1922/08/17 00:00:00.000,,"9",,,35.729431152343750,,"1",000022C7,1521.254171582986601,144591.876555346098030,144591.864
24660,"1922",CA,USF,ENF,CALIF DOOR CO,"00000000",1922/07/12 00:00:00.000,,"9",,,39.388633728027344,,"1",000008C3,1626.756309339584277,159400.147715945495293,159400.148
