month,count,sum,ave,median,std,min,max,range,minority,majority,variety,var
1,82,16581.7374,202.2163098,203.8037491,54.75080296,119.9477005,368.4404907,248.4927902,119.9477005,119.9477005,82,2997.650424
2,82,15739.34856,191.9432752,191.6443939,53.03228598,113.642395,347.1343994,233.4920044,113.642395,113.642395,82,2812.423356
3,82,14458.76061,176.3263489,174.471344,52.49601334,102.6447983,330.4827881,227.8379898,102.6447983,102.6447983,82,2755.831417
4,82,8657.295918,105.5767795,103.5953941,31.5885994,52.11309814,190.8834991,138.770401,52.11309814,52.11309814,82,997.8396123
5,82,5775.95776,70.43850927,70.5684967,26.32471848,38.08480072,160.6472931,122.5624924,38.08480072,38.08480072,82,692.9908029
6,82,1491.732058,18.19185437,13.60379982,9.865790712,6.563199997,44.36309814,37.79989815,6.563199997,6.563199997,82,97.33382637
7,82,113.6957968,1.386534108,0.723649979,1.493773007,0,4.796899796,4.796899796,0.0031,0,76,2.231357795
8,82,177.2981958,2.162173119,1.481899917,1.570499483,0.526499987,6.705199718,6.178699732,0.526499987,0.526499987,82,2.466468626
9,82,785.2579789,9.576316816,8.901699543,3.629179863,2.759199858,17.26539993,14.50620008,2.759199858,2.759199858,82,13.17094648
10,82,5013.941372,61.14562649,59.33934784,20.87324134,26.57019997,121.2538986,94.68369865,26.57019997,26.57019997,82,435.6922041
11,82,9030.592564,110.1291776,109.7142487,28.7134877,63.35309982,186.5848999,123.2318001,63.35309982,63.35309982,82,824.4643761
12,82,16758.90556,204.376897,199.6527481,64.06184552,111.8398972,432.2940979,320.4542007,111.8398972,111.8398972,82,4103.920051
