OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,TREATMENT_,TREATMEN_1,TREATMEN_2,START_DATE,END_DATE,TREATED_AC,GIS_ACRES,RX_CONSUM,PRE_CON_CL,POST_CON_C,Shape_Leng,Shape_Area,area
6156,"2020",CA,CDF,AEU,"10509",Jan 31 2020 Broadcast,"3",2020/01/31 00:00:00.000,2020/01/31 00:00:00.000,15.000000000000000,15.047044754028320,,,,1365.887528665628679,60893.216905848210445,60061.667
6158,"2020",CA,CDF,AEU,"10630",Feb 2020 Broadcast,"3",2020/02/13 00:00:00.000,2020/02/18 00:00:00.000,22.400000000000006,38.839847564697266,,,,3918.219955549231599,157179.228864885371877,157179.229
6159,"2020",CA,CDF,AEU,"10639",Feb 2020 Broadcast,"3",2020/02/11 00:00:00.000,2020/02/20 00:00:00.000,75.500000000000000,75.502464294433594,,,,3918.834462397182506,305529.980210500245448,305529.981
6160,"2020",CA,CDF,AEU,"10780",Mar 3 2020 Broadcast,"3",2020/03/03 00:00:00.000,2020/03/03 00:00:00.000,61.800000000000011,61.773609161376953,,,,2769.034316039823352,249980.461715837504016,249980.461
6161,"2020",CA,CDF,AEU,"10782",March 5 2020 Broadcast,"3",2020/03/05 00:00:00.000,2020/03/05 00:00:00.000,16.500000000000000,16.476650238037109,,,,1452.106186384720331,66678.603322638853570,66678.603
6171,"2020",CA,CDF,AEU,"11504",Dec 11 2020 Broadcast,"3",2020/12/11 00:00:00.000,2020/12/11 00:00:00.000,47.800000000000011,47.792243957519531,,,,1931.251309478722760,193408.299968200677540,182177.909
6790,"2020",CA,USF,ENF,11000990RX,VIEW 88 UNIT 99+ RXBURN,"3",2019/05/24 00:00:00.000,2020/02/19 00:00:00.000,50.000000000000000,50.439968109130859,,,,2969.024720836298457,204123.515804659429705,201024.858
6837,"2017",CA,CDF,AEU,"6635",2017 SPRING BROADCAST BURN,"3",2017/05/26 00:00:00.000,2017/05/26 00:00:00.000,26.000000000000000,26.388813018798828,,,,2048.866464534959050,106792.049468206416350,106792.049
6860,"2017",CA,CDF,AEU,"7573",2017 FALL BURN,"7",2017/11/02 00:00:00.000,2017/11/03 00:00:00.000,33.000000000000000,32.743148803710938,,,,2417.448325660842784,132506.648867087234976,132506.649
6871,"2017",CA,CDF,AEU,"7953",EARLY 2018 BROADCAST,"3",2018/02/16 00:00:00.000,2018/02/17 00:00:00.000,61.000000000000000,60.506839752197266,,,,3821.194185543333333,244861.702758929488482,234236.175
6888,"2017",CA,CDF,AEU,"7951",EARLY 2018 BROADCAST,"3",2018/02/15 00:00:00.000,2018/02/15 00:00:00.000,6.600000000000002,6.570633411407472,,,,1490.438523503373062,26590.275945985355065,1548.512
6939,"2017",CA,USF,ENF,"1331177000",,"3",2017/05/23 00:00:00.000,2017/05/23 00:00:00.000,108.000000000000000,108.373847961425781,,,,3837.127701312690533,438573.382316830160562,89376.216
6942,"2017",CA,USF,ENF,"6200151000",,"11",2017/06/28 00:00:00.000,2017/06/28 00:00:00.000,24.000000000000000,6.211121082305908,,,,1265.136854034073167,25135.514360644359840,25135.514
7161,"2015",CA,USF,ENF,"6200162000",MARSHALLMINE/BALTIC RX,"3",2015/02/06 00:00:00.000,2015/02/06 00:00:00.000,344.000000000000000,344.340393066406250,,,,9897.172539060251438,1393496.131549317855388,1393496.130
7318,"2006",CA,CDF,AEU,Rx-067,SHAKE/OMO VMP,"3",2006/05/09 00:00:00.000,2006/05/09 00:00:00.000,18.000000000000000,17.868192672729492,"4","3","2",1226.242143583709094,72310.007619832904311,72310.008
7579,"2008",CA,USF,ENF,"0503511120113000001",CAT ANDERSON AERIAL IGNITION,"3",2008/10/01 00:00:00.000,2008/11/23 00:00:00.000,445.065318239061526,445.065307617187500,,,,8771.627390173973254,1801115.442041709553450,1801115.450
7580,"2008",CA,USF,ENF,"0503511120113000002",CAT ANDERSON AERIAL IGNITION,"3",2008/10/01 00:00:00.000,2008/11/23 00:00:00.000,199.454677883716926,199.454681396484375,,,,6440.718678131795969,807164.442277739057317,807164.440
7581,"2005",CA,USF,ENF,"0503511120221000000",,"3",2005/10/01 00:00:00.000,2005/11/15 00:00:00.000,11.463522656017174,11.463522911071777,,,,1012.694130557901644,46391.230906591510575,46391.231
7582,"2008",CA,USF,ENF,"0503511140082000000",CAT ANDERSON RXBURN -EAST,"3",2008/10/01 00:00:00.000,2008/11/23 00:00:00.000,1268.576247875925219,1268.576293945312500,,,,12530.516684265438016,5133745.936942273750901,5133745.943
7583,"2009",CA,USF,ENF,"0503511400006000000",,"3",2007/10/01 00:00:00.000,2009/10/24 00:00:00.000,33.715569443466762,33.715568542480469,,,,1730.728125416009107,136442.279002056689933,136442.279
7584,"2008",CA,USF,ENF,"0503511400091000001",,"3",2007/10/01 00:00:00.000,2008/03/11 00:00:00.000,32.966048826366723,32.966049194335938,,,,1746.852238447989293,133408.866414134157822,133408.867
7585,"2009",CA,USF,ENF,"0503511400900000000",SCOTT CREEK UNDERSTORY BURN,"3",2009/10/01 00:00:00.000,2009/10/24 00:00:00.000,62.789373346455818,62.789371490478509,,,,2828.619909190689214,254099.790212921652710,254099.790
7594,"2007",CA,USF,ENF,"0503566160010000000",HAZEL,"3",2006/11/01 00:00:00.000,2007/02/07 00:00:00.000,207.689037318459469,207.689041137695341,,,,7399.334034083023653,840487.714534280938096,356831.966
7595,"2007",CA,USF,ENF,"0503566220050000000",LINCOLN LOG,"3",2007/10/01 00:00:00.000,2007/11/01 00:00:00.000,57.090349055622163,57.090347290039062,,,,2280.638427890236926,231036.445732802327257,231036.446
7596,"2007",CA,USF,ENF,"0503566220051000000",LINCOLN LOG,"3",2007/10/01 00:00:00.000,2007/11/01 00:00:00.000,46.152438782525685,46.152439117431641,,,,2130.740232793250016,186772.293296486954205,186772.296
7597,"2010",CA,USF,ENF,"0503566230139000000",GRIZZLY COMPOUND,"3",2010/04/01 00:00:00.000,2010/05/01 00:00:00.000,23.902017575202134,23.902017593383789,,,,1704.836756965311224,96728.033332524413709,96728.033
7598,"2009",CA,USF,ENF,"0503566240144000000",LAST CHANCE # 144,"3",2009/05/01 00:00:00.000,2009/05/01 00:00:00.000,25.548704240065398,25.548704147338867,,,,1449.341610283253203,103391.936477676208597,103391.947
7599,"2008",CA,USF,ENF,"0503566240305000000",LAST CHANCE RX BURN,"3",2008/04/01 00:00:00.000,2008/04/30 00:00:00.000,170.291678949902519,170.291671752929688,,,,4164.717915106395594,689145.976144454092719,689145.978
7600,"2005",CA,USF,ENF,"0503566240500000000",SIMPSON UNDER BURN,"3",2005/11/01 00:00:00.000,2005/11/01 00:00:00.000,792.585596356369820,792.585571289062500,,,,12597.403151854970929,3207480.110916509293020,3207480.142
7601,"2009",CA,USF,ENF,"0503566241146000000",LAST CHANCE STEWD # 146,"3",2008/05/01 00:00:00.000,2009/05/01 00:00:00.000,24.720300018185984,24.720300674438477,,,,1910.440126424625987,100039.504018883599201,100039.503
7602,"2010",CA,USF,ENF,"0503566300144000001",TRAP RX BURN U17 1008 AC,"3",2010/10/01 00:00:00.000,2010/10/17 00:00:00.000,974.416317079387909,974.416320800781364,,,,20301.645372823164507,3943322.926141004543751,3872411.872
7603,"2011",CA,USF,ENF,"0503566300144000002",TRAP RX BURN U17 1008 AC,"3",2010/10/01 00:00:00.000,2011/11/01 00:00:00.000,115.020470763951337,115.020469665527344,,,,3770.773408279736032,465471.332109280570876,456443.432
7634,"2001",CA,CDF,AEU,00000RX4-048-AEU,SHAKE RIDGE,,2001/10/26 00:00:00.000,,27.000000000000000,26.533447265625000,,,,2297.312975457536140,107377.053888797730906,94842.513
