year,month,ave_discharge
1907,10,67
1907,11,76.7
1907,12,195.3
1908,1,448.7
1908,2,291.8
1908,3,512
1908,4,323.7
1908,5,336.1
1908,6,113.9
1908,7,12.6
1908,8,0
1908,9,0.733
1908,10,11.3
1908,11,23.6
1908,12,49.1
1909,1,3609
1909,2,2753
1909,3,1365
1909,4,1227
1909,5,641.7
1909,6,280.7
1909,7,42
1909,8,8.29
1909,9,8.73
1909,10,26.7
1909,11,242.9
1909,12,1125
1910,1,1315
1910,2,1050
1910,3,2214
1910,4,1146
1910,5,414.2
1910,6,96.1
1910,7,20.9
1910,8,4.97
1910,9,10.1
1910,10,19.6
1910,11,47.9
1910,12,111.6
1911,1,4181
1911,2,2162
1911,3,3236
1911,4,2480
1911,5,1268
1911,6,819.2
1911,7,176.9
1911,8,35.5
1911,9,26.9
1911,10,46
1911,11,72.3
1911,12,77.9
1912,1,213.2
1912,2,128.7
1912,3,346.7
1912,4,347.1
1912,5,701.2
1912,6,277.9
1912,7,31.9
1912,8,11.9
1912,9,33.6
1912,10,17.6
1912,11,82.6
1912,12,68
1913,1,294.7
1913,2,170.1
1913,3,234.5
1913,4,646.1
1913,5,461.8
1913,6,120.4
1913,7,13.8
1913,8,4.61
1913,9,2.2
1913,10,4
1913,11,32.6
1913,12,307.4
1914,1,3698
1914,2,1956
1914,3,1126
1914,4,1040
1914,5,637.1
1914,6,264
1914,7,41.4
1914,8,5.03
1914,9,5.23
1914,10,16.3
1914,11,27.7
1914,12,121.7
1915,1,356.4
1915,2,2130
1915,3,904.1
1915,4,1104
1915,5,1635
1915,6,503.3
1915,7,85.5
1915,8,15
1915,9,7.95
1915,10,9.24
1915,11,33.5
1915,12,235.9
1916,1,2083
1916,2,2128
1916,3,2490
1916,4,1391
1916,5,722.4
1916,6,323.3
1916,7,56.6
1916,8,8.74
1916,9,7.48
1916,10,61.9
1916,11,71.5
1916,12,369.8
1917,1,298.4
1917,2,2194
1917,3,947
1917,4,1386
1917,5,1071
1917,6,541.5
1917,7,77.5
1917,8,12.7
1917,9,6.67
1917,10,7.08
1917,11,27.1
1917,12,50.2
1918,1,48
1918,2,374.8
1918,3,1776
1918,4,894.4
1918,5,403.6
1918,6,101.9
1918,7,8.08
1918,8,1.5
1918,9,24.1
1918,10,32.4
1918,11,67.9
1918,12,69.3
1919,1,124.2
1919,2,1539
1919,3,1004
1919,4,1009
1919,5,472.8
1919,6,73.5
1919,7,8.55
1919,8,1.42
1919,9,0.84
1919,10,11.3
1919,11,13
1919,12,126.7
1920,1,73.1
1920,2,74.5
1920,3,929.6
1920,4,919.8
1920,5,507.9
1920,6,125.5
1920,7,25.9
1920,8,2.63
1920,9,3.28
1920,10,49.8
1920,11,187.5
1920,12,630.9
1921,1,1610
1921,2,1070
1921,3,1444
1921,4,807.6
1921,5,622.6
1921,6,289.2
1921,7,40.9
1921,8,4.63
1921,9,3.6
1921,10,7.22
1921,11,19.2
1921,12,224.8
1922,1,286.6
1922,2,1882
1922,3,1135
1922,4,1410
1922,5,1584
1922,6,549.3
1922,7,68.7
1922,8,12.2
1922,9,3.99
1922,10,18.4
1922,11,201.2
1922,12,1694
1923,1,1240
1923,2,812.9
1923,3,643.4
1923,4,1655
1923,5,659
1923,6,263.1
1923,7,64.2
1923,8,11.9
1923,9,13.6
1923,10,35.9
1923,11,33.8
1923,12,52.9
1924,1,79.3
1924,2,194
1924,3,83.9
1924,4,141
1924,5,49.3
1924,6,4.42
1924,7,0.123
1924,8,0
1924,9,0
1924,10,14.2
1924,11,88.9
1924,12,245.8
1925,1,225.5
1925,2,2436
1925,3,723.5
1925,4,1674
1925,5,773.5
1925,6,250.1
1925,7,40.1
1925,8,9.74
1925,9,9.72
1925,10,22.5
1925,11,34.8
1925,12,64.2
1926,1,67.6
1926,2,930.3
1926,3,366.6
1926,4,814.1
1926,5,188.8
1926,6,29.1
1926,7,3.69
1926,8,0.077
1926,9,0.583
1926,10,9.42
1926,11,243.1
1926,12,230.9
1927,1,554.5
1927,2,2391
1927,3,1164
1927,4,2051
1927,5,687.5
1927,6,278.6
1927,7,45
1927,8,10.4
1927,9,7.02
1927,10,20.4
1927,11,141.9
1927,12,216.2
1928,1,198.4
1928,2,441.8
1928,3,2376
1928,4,1351
1928,5,359.8
1928,6,75.6
1928,7,20.9
1928,8,5.85
1928,9,4.57
1928,10,9.08
1928,11,37.3
1928,12,73.5
1929,1,116.7
1929,2,337.5
1929,3,331.9
1929,4,496.5
1929,5,336.5
1929,6,165.2
1929,7,23.7
1929,8,1.95
1929,9,0.91
1929,10,4.04
1929,11,7.9
1929,12,93
1930,1,328
1930,2,341.6
1930,3,929
1930,4,592.5
1930,5,327.2
1930,6,97.7
1930,7,14
1930,8,2.24
1930,9,3.44
1930,10,8.76
1930,11,37.1
1930,12,25.3
1931,1,95.6
1931,2,200.9
1931,3,198.7
1931,4,121.5
1931,5,60.5
1931,6,20.6
1931,7,1.39
1931,8,0
1931,9,0
1931,10,2.16
1931,11,26
1931,12,518.9
1932,1,457.9
1932,2,1583
1932,3,760.2
1932,4,725.5
1932,5,830.6
1932,6,292.4
1932,7,41.1
1932,8,7.13
1932,9,1.83
1932,10,4.83
1932,11,10.4
1932,12,30.5
1933,1,86.8
1933,2,117.9
1933,3,308.5
1933,4,399.5
1933,5,553.8
1933,6,327.2
1933,7,33
1933,8,2.74
1933,9,0.39
1933,10,10.9
1933,11,26.6
1933,12,289
1934,1,509.1
1934,2,552.6
1934,3,367
1934,4,173.8
1934,5,73.3
1934,6,44.1
1934,7,5.21
1934,8,0.039
1934,9,0
1934,10,4.37
1934,11,73.4
1934,12,93.7
1935,1,539.7
1935,2,434
1935,3,710.9
1935,4,2929
1935,5,994.8
1935,6,308.7
1935,7,54
1935,8,10.1
1935,9,2.28
1935,10,18.8
1935,11,32.7
1935,12,45.1
1936,1,949.4
1936,2,4064
1936,3,1195
1936,4,1451
1936,5,637.5
1936,6,348.9
1936,7,57.9
1936,8,12.7
1936,9,7.17
1936,10,9.62
1936,11,17.6
1936,12,51.9
1937,1,155.9
1937,2,1662
1937,3,1859
1937,4,1529
1937,5,1093
1937,6,269.2
1937,7,53
1937,8,10.9
1937,9,4.32
1937,10,17.6
1937,11,52.9
1937,12,492.4
1938,1,309.6
1938,2,2682
1938,3,3264
1938,4,2094
1938,5,1715
1938,6,654.1
1938,7,125.7
1938,8,36.3
1938,9,17.6
1938,10,45.6
1938,11,70
1938,12,78.7
1939,1,105.1
1939,2,206.6
1939,3,441.8
1939,4,403.3
1939,5,140.2
1939,6,39
1939,7,5.1
1939,8,0.184
1939,9,0.8
1939,10,24.5
1939,11,23.2
1939,12,37.1
1940,1,1247
1940,2,2253
1940,3,2593
1940,4,1576
1940,5,461.6
1940,6,115.9
1940,7,26.9
1940,8,1.81
1940,9,1.59
1940,10,11.2
1940,11,36.3
1940,12,450.5
1941,1,808.9
1941,2,1439
1941,3,1360
1941,4,1358
1941,5,904.9
1941,6,278.4
1941,7,55.5
1941,8,13.9
1941,9,8.63
1941,10,18.3
1941,11,53.9
1941,12,384.5
1942,1,1786
1942,2,1915
1942,3,761.1
1942,4,1434
1942,5,1391
1942,6,614.5
1942,7,134.6
1942,8,38.4
1942,9,20.6
1942,10,26.8
1942,11,345.5
1942,12,618.5
1943,1,2242
1943,2,1472
1943,3,4047
1943,4,1243
1943,5,556.2
1943,6,259.2
1943,7,81.6
1943,8,29.6
1943,9,16.2
1943,10,32.9
1943,11,51.3
1943,12,75.1
1944,1,173.2
1944,2,592.3
1944,3,772
1944,4,551.2
1944,5,627.6
1944,6,202.3
1944,7,35
1944,8,5.3
1944,9,1.65
1944,10,6.28
1944,11,384.9
1944,12,300.7
1945,1,246.5
1945,2,2165
1945,3,911.2
1945,4,995.1
1945,5,651.1
1945,6,342.5
1945,7,50.2
1945,8,9.28
1945,9,2.65
1945,10,41.1
1945,11,243.7
1945,12,1761
1946,1,911.4
1946,2,506.7
1946,3,1057
1946,4,1091
1946,5,600.8
1946,6,179.3
1946,7,40.8
1946,8,8.26
1946,9,4.1
1946,10,26.7
1946,11,173.2
1946,12,196.6
1947,1,131.5
1947,2,410.3
1947,3,702.6
1947,4,540.6
1947,5,175
1947,6,55.9
1947,7,6.28
1947,8,1.13
1947,9,0.193
1947,10,41.7
1947,11,60.4
1947,12,48.9
1948,1,144
1948,2,162.9
1948,3,539.8
1948,4,1614
1948,5,1232
1948,6,509.2
1948,7,82.3
1948,8,15
1948,9,5.24
1948,10,11.6
1948,11,41.6
1948,12,99.7
1949,1,132.8
1949,2,302.3
1949,3,1371
1949,4,1060
1949,5,690.2
1949,6,184.1
1949,7,27.5
1949,8,6.18
1949,9,4.51
1949,10,10.1
1949,11,48.5
1949,12,47
1950,1,657.8
1950,2,1246
1950,3,924.6
1950,4,1546
1950,5,771.4
1950,6,252.4
1950,7,45.7
1950,8,10.6
1950,9,9.31
1950,10,57.8
1950,11,2493
1950,12,2946
1951,1,2186
1951,2,1556
1951,3,1549
1951,4,791.7
1951,5,767.5
1951,6,196.9
1951,7,69.9
1951,8,28.7
1951,9,20.3
1951,10,67.3
1951,11,164
1951,12,958.8
1952,1,2292
1952,2,2038
1952,3,2133
1952,4,2365
1952,5,1895
1952,6,730.5
1952,7,205.2
1952,8,63.2
1952,9,42.8
1952,10,38.5
1952,11,71.3
1952,12,238.9
1953,1,950.1
1953,2,350.5
1953,3,526.6
1953,4,830.6
1953,5,716.1
1953,6,509.9
1953,7,106.6
1953,8,27.4
1953,9,13.9
1953,10,28.1
1953,11,74.3
1953,12,98.4
1954,1,253.1
1954,2,627.2
1954,3,1070
1954,4,1094
1954,5,414.5
1954,6,120
1954,7,30.7
1954,8,9.65
1954,9,7.68
1954,10,11.8
1954,11,45.9
1954,12,319.2
1955,1,635.7
1955,2,376.9
1955,3,375.5
1955,4,481.8
1955,5,522.9
1955,6,150.8
1955,7,30.5
1955,8,5.96
1955,9,5.44
1955,10,9.28
1955,11,37.6
1955,12,3189
1956,1,3180
1956,2,1160
1956,3,864.5
1956,4,808.9
1956,5,1236
1956,6,341.6
1956,7,81.2
1956,8,34.4
1956,9,24.8
1956,10,46.4
1956,11,60.5
1956,12,67.6
1957,1,114.7
1957,2,622.5
1957,3,1371
1957,4,553.8
1957,5,805.6
1957,6,240.5
1957,7,48.3
1957,8,17.7
1957,9,13
1957,10,31.5
1957,11,55.7
1957,12,117.2
1958,1,386.7
1958,2,1890
1958,3,2468
1958,4,3784
1958,5,1480
1958,6,567.4
1958,7,126.5
1958,8,45.2
1958,9,27.7
1958,10,30.9
1958,11,44.3
1958,12,50.3
1959,1,238
1959,2,673.6
1959,3,360.5
1959,4,333.7
1959,5,143.1
1959,6,38.3
1959,7,27.5
1959,8,22.3
1959,9,15.3
1959,10,11
1959,11,13.6
1959,12,25.5
1960,1,106.3
1960,2,728.2
1960,3,690.9
1960,4,512.2
1960,5,296.6
1960,6,58.4
1960,7,36.8
1960,8,22.6
1960,9,6.93
1960,10,10.7
1960,11,42.3
1960,12,63.9
1961,1,43
1961,2,110.1
1961,3,186.3
1961,4,180.4
1961,5,171.2
1961,6,52.7
1961,7,31.6
1961,8,13.7
1961,9,6.97
1961,10,4.97
1961,11,14.3
1961,12,41.4
1962,1,41.6
1962,2,1296
1962,3,717.9
1962,4,878.2
1962,5,383.9
1962,6,155.1
1962,7,34.7
1962,8,12.4
1962,9,8.16
1962,10,334.8
1962,11,49
1962,12,176.1
1963,1,280.9
1963,2,2102
1963,3,662.7
1963,4,2232
1963,5,1354
1963,6,340.1
1963,7,87.3
1963,8,30.2
1963,9,21.1
1963,10,37.7
1963,11,237.7
1963,12,125.1
1964,1,428.9
